地名,店名,統一編號,民事/刑事
台中,台中潛立方,54750578,民
台中,綠夜文旅,24838106,民
台中,Calligraphy Greenway Hotel Taichung 草悟道文旅,,
台中,台中草悟道住宿綠宿行旅Green Hotel,42666554,
台中,時空行旅,45888501,
台中,承億文旅 - 台中鳥日子,27597690,民/刑
台中,三好行旅SUN HAO HOTEL. TAICHUNG,42985500 ,
台中,快樂腳旅棧 Happy Inn & Hostel,54884823,
台中,嬉·行旅 Hotel Si,,
台中,旭日文旅,82795180,
台中,台中大毅老爺行旅,80228181 ,
台中,YOURsHome 你的民宿,,
台中,圖格旅 TG Hostel,61433009,
台中,荷米旅居 Hommie Inn,24607766 ,民
台中,紅點文旅,52506584,
台中,黑金文旅 Kgoldhotel,63152807,
台中,麻雀巢行旅,83398569,
台中,巢旅宿 SU Taichung Hostel,,
台中,圖森小棧,,
台中,承攜行旅 台中自由館 Guide Hotel Taichung ZiYou,90686609,
台中,宜舍單人旅店 (Ease Single Inn),24834798,
台中,新盛橋行旅S.S.B-Hotel,,
台中,路得行旅 國際青年旅館 台中站前館,,
台中,葉綠宿．茶覺旅 Tea Way Hotel,54591729,
台中,旅巷自在輕旅 Loosha Hostel,,
台中,沐品居太空旅棧 Mu Pin Ju Hostel,82859727,
台中,挪威森林台中行旅3號館 Norway Forest Taichung Travel Hotel No.3,,
台中,漫旅光城,90895697 ,
台中,快樂腳旅棧 Happy Inn & Hostel,54884823,
台中,藻宿-找宿,,
台中,余舍行旅,82789650,
台中,璞樹文旅 TREEART HOTEL,53995012,
台中,台中朝聖行旅,54974182,
